,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,176,4,0,0,176,8,0,0
3,3,166,9,0,0,166,18,0,0
4,4,149,17,0,0,149,34,0,0
5,5,139,17,3,0,139,34,10,0
6,6,135,17,4,0,135,35,13,0
7,7,125,22,4,0,125,45,13,0
8,8,115,24,6,0,115,49,19,0
9,9,115,24,6,0,115,49,19,0
10,10,112,25,6,0,112,52,19,0
11,11,103,29,6,0,103,61,19,0
12,12,88,35,6,0,88,76,19,0
13,13,84,37,5,0,84,83,16,0
14,14,82,35,7,0,82,78,23,0
15,15,73,35,9,0,73,81,29,0
