,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,178,3,0,0,178,6,0,0
3,3,172,6,0,0,172,12,0,0
4,4,161,10,1,0,161,20,3,0
5,5,152,13,2,0,152,26,6,0
6,6,148,15,2,0,148,30,6,0
7,7,141,18,2,0,141,37,6,0
8,8,132,19,4,0,132,40,12,0
9,9,130,20,4,0,130,42,12,0
10,10,126,20,5,0,126,41,17,0
11,11,122,22,3,1,122,49,9,4
12,12,112,23,5,1,112,52,16,4
13,13,108,23,6,1,108,53,19,4
14,14,102,24,7,1,102,55,22,4
15,15,95,27,7,1,95,62,22,4
