,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,178,3,0,0,178,6,0,0
3,3,172,6,0,0,172,12,0,0
4,4,161,10,1,0,161,20,3,0
5,5,152,13,2,0,152,26,6,0
6,6,149,14,2,0,149,28,6,0
7,7,142,16,3,0,142,32,9,0
8,8,132,19,4,0,132,38,13,0
9,9,130,20,4,0,130,40,13,0
10,10,124,23,4,0,124,46,13,0
11,11,118,26,4,0,118,52,13,0
12,12,107,29,4,1,107,59,13,4
13,13,101,32,4,1,101,65,13,4
14,14,97,30,6,1,97,62,20,4
15,15,93,29,7,1,93,63,23,4
