,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,178,3,0,0,178,6,0,0
3,3,172,6,0,0,172,12,0,0
4,4,161,10,1,0,161,20,3,0
5,5,154,10,3,0,154,21,9,0
6,6,151,11,3,0,151,24,9,0
7,7,145,12,4,0,145,27,12,0
8,8,135,16,3,1,135,35,9,5
9,9,133,17,3,1,133,37,9,5
10,10,128,18,4,1,128,39,12,5
11,11,124,19,3,2,124,42,9,9
12,12,113,24,3,1,113,54,12,5
13,13,107,27,3,1,107,60,12,5
14,14,101,28,4,1,101,61,17,5
15,15,94,31,4,1,94,67,17,6
