,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,177,3,0,0,177,6,0,0
3,3,168,6,1,0,168,12,3,0
4,4,152,11,3,0,152,22,9,0
5,5,139,16,4,0,139,32,12,0
6,6,133,19,4,0,133,38,12,0
7,7,123,24,4,0,123,48,12,0
8,8,115,25,5,0,115,51,16,0
9,9,115,25,5,0,115,51,16,0
10,10,111,27,5,0,111,55,16,0
11,11,104,28,5,1,104,58,16,4
12,12,93,27,6,3,93,56,20,13
13,13,88,30,5,3,88,65,16,13
14,14,85,31,4,4,85,67,13,17
15,15,75,33,6,3,75,76,19,12
