,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,178,3,0,0,178,6,0,0
3,3,172,6,0,0,172,12,0,0
4,4,163,6,3,0,163,12,9,0
5,5,153,11,3,0,153,22,9,0
6,6,150,12,2,1,150,24,6,4
7,7,142,16,2,1,142,32,6,4
8,8,133,18,2,2,133,36,6,9
9,9,132,17,3,2,132,34,9,9
10,10,128,18,2,3,128,36,6,14
11,11,123,20,1,4,123,40,3,18
12,12,114,20,3,4,114,42,10,18
13,13,109,23,3,3,109,52,10,13
14,14,103,25,3,3,103,58,10,13
15,15,97,27,2,4,97,62,6,19
