,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,178,3,0,0,178,6,0,0
3,3,172,6,0,0,172,12,0,0
4,4,160,12,0,0,160,24,0,0
5,5,150,17,0,0,150,34,0,0
6,6,146,19,0,0,146,38,0,0
7,7,141,18,2,0,141,37,6,0
8,8,132,20,3,0,132,42,10,0
9,9,130,21,3,0,130,44,10,0
10,10,125,23,3,0,125,49,10,0
11,11,119,26,3,0,119,55,10,0
12,12,106,31,4,0,106,65,13,0
13,13,101,33,4,0,101,70,13,0
14,14,97,32,5,0,97,70,17,0
15,15,90,35,5,0,90,77,17,0
