,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,178,3,0,0,178,6,0,0
3,3,172,6,0,0,172,12,0,0
4,4,160,12,0,0,160,24,0,0
5,5,151,16,0,0,151,33,0,0
6,6,149,15,1,0,149,31,4,0
7,7,141,19,1,0,141,39,4,0
8,8,130,23,2,0,130,47,7,0
9,9,128,24,2,0,128,49,7,0
10,10,124,25,1,1,124,51,3,6
11,11,119,27,1,1,119,56,3,6
12,12,110,26,4,1,110,55,13,6
13,13,105,28,3,2,105,59,10,10
14,14,98,30,4,2,98,63,13,10
15,15,94,28,6,2,94,59,21,10
