,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,178,3,0,0,178,6,0,0
3,3,172,6,0,0,172,12,0,0
4,4,161,10,1,0,161,20,3,0
5,5,152,13,2,0,152,26,6,0
6,6,150,12,3,0,150,25,9,0
7,7,142,16,3,0,142,33,9,0
8,8,133,17,4,1,133,35,12,4
9,9,131,18,4,1,131,37,12,4
10,10,125,21,4,1,125,43,12,4
11,11,119,24,4,1,119,49,12,4
12,12,108,27,5,1,108,57,15,4
13,13,103,28,6,1,103,59,18,4
14,14,99,27,6,2,99,57,19,9
15,15,93,29,6,2,93,63,19,9
