,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,179,2,0,0,179,5,0,0
3,3,173,5,0,0,173,11,0,0
4,4,161,11,0,0,161,23,0,0
5,5,152,14,1,0,152,28,4,0
6,6,148,16,1,0,148,32,4,0
7,7,140,20,1,0,140,40,4,0
8,8,132,20,3,0,132,40,12,0
9,9,130,21,3,0,130,42,12,0
10,10,126,21,4,0,126,42,16,0
11,11,120,24,4,0,120,48,16,0
12,12,109,28,4,0,109,59,16,0
13,13,103,31,4,0,103,65,16,0
14,14,98,30,6,0,98,64,22,0
15,15,93,30,6,1,93,65,21,5
