,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,176,4,0,0,176,8,0,0
3,3,167,7,1,0,167,14,3,0
4,4,150,14,2,0,150,28,6,0
5,5,140,15,3,1,140,31,9,4
6,6,137,14,4,1,137,30,13,4
7,7,127,19,4,1,127,40,13,4
8,8,117,22,5,1,117,46,17,4
9,9,117,22,5,1,117,46,17,4
10,10,113,24,5,1,113,50,17,4
11,11,103,29,5,1,103,60,17,4
12,12,90,31,7,1,90,67,23,4
13,13,84,34,7,1,84,73,23,4
14,14,81,35,7,1,81,76,23,4
15,15,74,31,10,2,74,68,34,8
