,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,176,4,0,0,176,8,0,0
3,3,167,8,0,0,167,17,0,0
4,4,150,15,1,0,150,31,3,0
5,5,139,17,3,0,139,35,10,0
6,6,133,20,3,0,133,41,10,0
7,7,124,23,4,0,124,47,13,0
8,8,114,26,5,0,114,54,16,0
9,9,114,26,5,0,114,54,16,0
10,10,110,28,5,0,110,58,16,0
11,11,104,29,5,0,104,64,16,0
12,12,92,32,3,2,92,74,10,8
13,13,87,34,3,2,87,79,10,8
14,14,84,35,3,2,84,82,10,8
15,15,77,34,4,2,77,84,15,8
