,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,176,4,0,0,176,8,0,0
3,3,167,8,0,0,167,17,0,0
4,4,150,16,0,0,150,34,0,0
5,5,138,19,2,0,138,40,6,0
6,6,133,20,3,0,133,42,9,0
7,7,125,21,5,0,125,44,15,0
8,8,114,26,4,1,114,54,12,4
9,9,114,26,4,1,114,54,12,4
10,10,111,27,3,2,111,56,9,8
11,11,103,29,4,2,103,61,12,8
12,12,88,33,5,3,88,67,17,12
13,13,84,35,4,3,84,71,14,15
14,14,82,34,5,3,82,69,18,15
15,15,74,34,4,5,74,70,17,23
