,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,176,4,0,0,176,8,0,0
3,3,167,8,0,0,167,17,0,0
4,4,150,16,0,0,150,34,0,0
5,5,138,20,1,0,138,43,3,0
6,6,133,21,2,0,133,45,6,0
7,7,124,25,2,0,124,54,6,0
8,8,116,24,5,0,116,52,16,0
9,9,116,24,5,0,116,52,16,0
10,10,113,25,5,0,113,55,16,0
11,11,106,26,6,0,106,59,19,0
12,12,95,26,6,2,95,60,18,11
13,13,90,28,6,2,90,65,18,11
14,14,87,28,7,2,87,64,22,11
15,15,80,24,12,1,80,57,42,5
