,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,178,3,0,0,178,6,0,0
3,3,172,6,0,0,172,12,0,0
4,4,161,10,1,0,161,20,3,0
5,5,152,14,1,0,152,29,3,0
6,6,148,16,1,0,148,33,3,0
7,7,140,20,1,0,140,41,3,0
8,8,130,23,2,0,130,47,7,0
9,9,130,21,3,0,130,43,11,0
10,10,126,21,4,0,126,44,14,0
11,11,121,23,4,0,121,49,14,0
12,12,109,27,5,0,109,57,18,0
13,13,103,30,5,0,103,63,18,0
14,14,100,29,5,0,100,65,19,0
15,15,96,29,4,1,96,66,18,4
