,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,178,3,0,0,178,6,0,0
3,3,173,5,0,0,173,11,0,0
4,4,162,10,0,0,162,22,0,0
5,5,153,13,1,0,153,27,4,0
6,6,149,15,1,0,149,31,4,0
7,7,142,18,1,0,142,38,4,0
8,8,135,15,5,0,135,32,17,0
9,9,133,16,5,0,133,34,17,0
10,10,127,19,5,0,127,40,17,0
11,11,122,20,6,0,122,42,20,0
12,12,112,21,7,1,112,44,23,5
13,13,108,21,8,1,108,45,26,5
14,14,102,22,9,1,102,48,29,5
15,15,98,22,9,1,98,52,29,5
