,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,178,3,0,0,178,6,0,0
3,3,172,6,0,0,172,12,0,0
4,4,161,10,1,0,161,20,3,0
5,5,151,15,1,0,151,30,3,0
6,6,148,16,1,0,148,33,3,0
7,7,140,20,1,0,140,41,3,0
8,8,132,21,2,0,132,46,6,0
9,9,131,20,3,0,131,43,10,0
10,10,126,21,4,0,126,45,13,0
11,11,122,22,4,0,122,49,13,0
12,12,110,28,3,0,110,64,10,0
13,13,105,29,4,0,105,65,14,0
14,14,101,27,6,0,101,62,21,0
15,15,95,28,7,0,95,64,25,0
