,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,176,4,0,0,176,8,0,0
3,3,166,9,0,0,166,18,0,0
4,4,148,18,0,0,148,36,0,0
5,5,134,25,0,0,134,50,0,0
6,6,128,28,0,0,128,56,0,0
7,7,121,28,2,0,121,57,6,0
8,8,112,29,4,0,112,60,12,0
9,9,112,29,4,0,112,60,12,0
10,10,108,31,4,0,108,64,12,0
11,11,100,33,5,0,100,69,15,0
12,12,90,30,9,0,90,64,30,0
13,13,87,29,10,0,87,62,35,0
14,14,83,31,10,0,83,66,35,0
15,15,75,29,12,1,75,62,41,6
