,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,178,3,0,0,178,6,0,0
3,3,172,6,0,0,172,12,0,0
4,4,161,10,1,0,161,20,3,0
5,5,153,12,2,0,153,25,6,0
6,6,150,13,2,0,150,28,6,0
7,7,143,16,2,0,143,34,6,0
8,8,133,20,2,0,133,44,6,0
9,9,131,21,2,0,131,46,6,0
10,10,129,18,4,0,129,41,13,0
11,11,124,20,4,0,124,46,13,0
12,12,115,21,5,0,115,52,16,0
13,13,110,24,4,0,110,61,12,0
14,14,106,22,6,0,106,57,20,0
15,15,99,24,7,0,99,61,23,0
