,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,176,4,0,0,176,8,0,0
3,3,166,9,0,0,166,18,0,0
4,4,150,16,0,0,150,34,0,0
5,5,141,15,3,0,141,32,11,0
6,6,135,18,3,0,135,38,11,0
7,7,128,18,5,0,128,38,18,0
8,8,118,21,6,0,118,45,21,0
9,9,118,21,6,0,118,45,21,0
10,10,115,22,6,0,115,48,21,0
11,11,107,25,5,1,107,55,17,5
12,12,92,28,8,1,92,60,27,5
13,13,87,29,9,1,87,62,30,5
14,14,84,30,9,1,84,65,30,5
15,15,76,28,12,1,76,62,41,5
