,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,176,4,0,0,176,8,0,0
3,3,168,7,0,0,168,15,0,0
4,4,151,15,0,0,151,32,0,0
5,5,138,20,1,0,138,42,3,0
6,6,133,22,1,0,133,47,3,0
7,7,125,24,2,0,125,51,7,0
8,8,115,26,4,0,115,54,14,0
9,9,115,26,4,0,115,54,14,0
10,10,111,28,4,0,111,58,14,0
11,11,103,30,5,0,103,62,18,0
12,12,93,28,6,2,93,59,20,10
13,13,89,29,6,2,89,63,20,10
14,14,86,30,6,2,86,66,20,10
15,15,76,33,7,1,76,77,24,5
