,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,176,4,0,0,176,8,0,0
3,3,166,9,0,0,166,18,0,0
4,4,148,18,0,0,148,36,0,0
5,5,136,21,2,0,136,42,6,0
6,6,132,21,3,0,132,42,10,0
7,7,124,23,4,0,124,47,13,0
8,8,116,23,6,0,116,48,20,0
9,9,116,23,6,0,116,48,20,0
10,10,112,25,6,0,112,52,20,0
11,11,106,24,8,0,106,52,26,0
12,12,90,31,8,0,90,68,26,0
13,13,85,33,8,0,85,73,26,0
14,14,81,35,8,0,81,77,26,0
15,15,72,35,10,0,72,78,34,0
