,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,178,3,0,0,178,6,0,0
3,3,172,6,0,0,172,12,0,0
4,4,161,10,1,0,161,20,3,0
5,5,152,13,2,0,152,26,6,0
6,6,149,13,3,0,149,26,9,0
7,7,142,15,4,0,142,30,12,0
8,8,130,21,4,0,130,42,12,0
9,9,129,21,4,0,129,43,12,0
10,10,123,24,4,0,123,49,12,0
11,11,117,27,4,0,117,55,12,0
12,12,105,32,4,0,105,67,12,0
13,13,99,35,4,0,99,73,12,0
14,14,92,38,4,0,92,80,12,0
15,15,85,41,4,0,85,87,12,0
