,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,176,4,0,0,176,8,0,0
3,3,167,8,0,0,167,17,0,0
4,4,149,17,0,0,149,35,0,0
5,5,135,24,0,0,135,49,0,0
6,6,129,27,0,0,129,55,0,0
7,7,123,26,2,0,123,53,8,0
8,8,114,28,3,0,114,58,12,0
9,9,114,28,3,0,114,58,12,0
10,10,110,30,3,0,110,62,12,0
11,11,103,30,5,0,103,63,18,0
12,12,93,28,7,1,93,61,24,6
13,13,91,26,7,2,91,58,25,10
14,14,88,27,7,2,88,61,25,10
15,15,81,26,7,3,81,64,23,16
