,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,176,4,0,0,176,8,0,0
3,3,166,9,0,0,166,18,0,0
4,4,150,14,2,0,150,28,6,0
5,5,137,20,2,0,137,40,6,0
6,6,131,23,2,0,131,46,6,0
7,7,124,22,5,0,124,44,15,0
8,8,113,27,5,0,113,55,15,0
9,9,113,27,5,0,113,55,15,0
10,10,109,29,5,0,109,59,15,0
11,11,100,32,6,0,100,65,18,0
12,12,86,35,8,0,86,73,24,0
13,13,84,32,10,0,84,68,31,0
14,14,82,31,11,0,82,66,35,0
15,15,72,34,9,2,72,72,29,10
