,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,178,3,0,0,178,6,0,0
3,3,172,6,0,0,172,12,0,0
4,4,160,12,0,0,160,24,0,0
5,5,150,17,0,0,150,34,0,0
6,6,147,17,1,0,147,34,3,0
7,7,141,18,2,0,141,36,7,0
8,8,133,19,3,0,133,38,13,0
9,9,131,20,3,0,131,40,13,0
10,10,127,19,5,0,127,38,19,0
11,11,121,22,5,0,121,44,19,0
12,12,108,27,6,0,108,54,22,0
13,13,104,28,6,0,104,58,22,0
14,14,101,25,8,0,101,53,30,0
15,15,94,28,8,0,94,60,30,0
