,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,178,3,0,0,178,6,0,0
3,3,173,5,0,0,173,11,0,0
4,4,161,11,0,0,161,23,0,0
5,5,153,13,1,0,153,28,3,0
6,6,149,15,1,0,149,32,3,0
7,7,141,19,1,0,141,40,3,0
8,8,134,17,4,0,134,37,13,0
9,9,132,18,4,0,132,39,13,0
10,10,128,17,6,0,128,36,20,0
11,11,124,18,6,0,124,37,20,0
12,12,114,21,6,0,114,48,19,0
13,13,108,24,6,0,108,54,19,0
14,14,100,28,6,0,100,62,19,0
15,15,93,31,6,0,93,69,19,0
