,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,176,4,0,0,176,8,0,0
3,3,167,8,0,0,167,17,0,0
4,4,150,15,1,0,150,31,3,0
5,5,139,17,2,1,139,35,6,4
6,6,134,18,3,1,134,37,9,4
7,7,126,20,4,1,126,42,12,4
8,8,115,25,4,1,115,53,12,4
9,9,115,25,4,1,115,53,12,4
10,10,111,27,4,1,111,57,12,4
11,11,105,26,6,1,105,56,19,4
12,12,94,25,8,2,94,54,25,11
13,13,88,28,8,2,88,60,25,11
14,14,84,30,8,2,84,64,25,11
15,15,75,32,8,2,75,74,24,11
