,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,178,3,0,0,178,6,0,0
3,3,172,6,0,0,172,12,0,0
4,4,160,12,0,0,160,24,0,0
5,5,150,17,0,0,150,34,0,0
6,6,147,17,1,0,147,34,3,0
7,7,139,21,1,0,139,42,3,0
8,8,130,22,3,0,130,44,10,0
9,9,128,23,3,0,128,46,10,0
10,10,123,24,4,0,123,48,13,0
11,11,117,27,4,0,117,54,13,0
12,12,107,29,5,0,107,61,16,0
13,13,102,32,4,0,102,69,13,0
14,14,95,35,4,0,95,76,13,0
15,15,89,35,6,0,89,76,19,0
