,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,178,3,0,0,178,6,0,0
3,3,172,6,0,0,172,12,0,0
4,4,161,11,0,0,161,22,0,0
5,5,152,14,1,0,152,28,3,0
6,6,148,16,1,0,148,32,3,0
7,7,142,17,2,0,142,35,6,0
8,8,131,22,2,0,131,46,6,0
9,9,130,22,1,1,130,46,3,4
10,10,126,21,3,1,126,43,10,4
11,11,123,21,3,1,123,42,13,5
12,12,114,22,5,0,114,50,19,0
13,13,110,21,7,0,110,48,25,0
14,14,103,23,8,0,103,52,28,0
15,15,97,24,9,0,97,55,31,0
