,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,176,4,0,0,176,8,0,0
3,3,167,8,0,0,167,16,0,0
4,4,151,14,1,0,151,28,4,0
5,5,139,18,2,0,139,37,7,0
6,6,134,19,3,0,134,39,10,0
7,7,126,22,3,0,126,47,10,0
8,8,117,22,6,0,117,45,21,0
9,9,117,22,6,0,117,45,21,0
10,10,114,23,5,1,114,47,18,4
11,11,105,27,4,2,105,55,15,8
12,12,91,31,5,2,91,68,16,8
13,13,86,32,6,2,86,70,19,8
14,14,85,30,6,3,85,66,20,12
15,15,77,28,9,3,77,63,31,12
