,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,176,4,0,0,176,8,0,0
3,3,166,9,0,0,166,18,0,0
4,4,148,18,0,0,148,36,0,0
5,5,134,25,0,0,134,50,0,0
6,6,130,24,2,0,130,48,6,0
7,7,124,24,3,0,124,50,10,0
8,8,115,25,5,0,115,53,16,0
9,9,115,25,5,0,115,53,16,0
10,10,113,23,7,0,113,49,22,0
11,11,103,28,7,0,103,59,22,0
12,12,91,28,10,0,91,59,34,0
13,13,86,29,11,0,86,61,37,0
14,14,83,31,10,0,83,67,34,0
15,15,76,27,13,1,76,59,45,4
