,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,178,3,0,0,178,6,0,0
3,3,172,6,0,0,172,12,0,0
4,4,164,6,2,0,164,13,7,0
5,5,154,11,2,0,154,23,7,0
6,6,150,13,2,0,150,27,7,0
7,7,142,17,2,0,142,35,7,0
8,8,132,19,4,0,132,39,13,0
9,9,131,19,3,1,131,39,10,4
10,10,125,22,3,1,125,45,10,4
11,11,119,25,3,1,119,51,10,4
12,12,108,28,4,1,108,58,14,4
13,13,104,28,5,1,104,58,17,5
14,14,97,31,5,1,97,65,17,5
15,15,93,31,4,2,93,68,13,10
