,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,178,3,0,0,178,6,0,0
3,3,172,6,0,0,172,12,0,0
4,4,162,9,1,0,162,19,3,0
5,5,152,14,1,0,152,29,3,0
6,6,148,16,1,0,148,33,3,0
7,7,141,19,1,0,141,40,3,0
8,8,134,18,3,0,134,39,11,0
9,9,132,19,3,0,132,41,11,0
10,10,126,22,3,0,126,47,11,0
11,11,120,25,3,0,120,53,11,0
12,12,107,31,3,0,107,66,11,0
13,13,103,31,4,0,103,67,14,0
14,14,97,32,5,0,97,70,17,0
15,15,92,33,5,0,92,73,17,0
