,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,176,4,0,0,176,8,0,0
3,3,167,7,1,0,167,14,3,0
4,4,152,12,2,0,152,24,6,0
5,5,141,14,4,0,141,28,13,0
6,6,136,16,4,0,136,33,13,0
7,7,127,20,4,0,127,42,13,0
8,8,117,23,5,0,117,49,16,0
9,9,117,23,5,0,117,49,16,0
10,10,114,23,6,0,114,49,19,0
11,11,106,25,7,0,106,53,23,0
12,12,94,25,9,1,94,55,29,4
13,13,90,26,8,2,90,58,26,8
14,14,89,25,8,2,89,58,27,8
15,15,78,27,10,2,78,62,34,8
