,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,176,4,0,0,176,8,0,0
3,3,167,8,0,0,167,16,0,0
4,4,152,12,2,0,152,24,7,0
5,5,139,17,3,0,139,34,10,0
6,6,134,19,3,0,134,39,10,0
7,7,125,23,3,0,125,48,10,0
8,8,113,29,3,0,113,60,10,0
9,9,113,29,3,0,113,60,10,0
10,10,109,31,3,0,109,64,10,0
11,11,101,33,4,0,101,69,13,0
12,12,88,35,4,2,88,74,13,8
13,13,84,36,4,2,84,78,13,8
14,14,81,36,5,2,81,78,16,8
15,15,70,40,5,2,70,87,18,8
