,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,178,3,0,0,178,6,0,0
3,3,172,6,0,0,172,12,0,0
4,4,161,10,1,0,161,20,3,0
5,5,152,14,1,0,152,29,3,0
6,6,148,16,1,0,148,33,3,0
7,7,143,14,4,0,143,28,13,0
8,8,133,17,5,0,133,35,16,0
9,9,131,18,5,0,131,37,16,0
10,10,125,21,5,0,125,43,16,0
11,11,121,22,5,0,121,47,16,0
12,12,111,26,3,1,111,59,9,5
13,13,108,25,4,1,108,59,12,5
14,14,100,29,4,1,100,67,12,5
15,15,95,29,5,1,95,68,16,5
