,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,178,3,0,0,178,6,0,0
3,3,172,6,0,0,172,12,0,0
4,4,160,12,0,0,160,24,0,0
5,5,151,15,1,0,151,30,3,0
6,6,148,16,1,0,148,33,3,0
7,7,141,19,1,0,141,40,3,0
8,8,130,23,2,0,130,47,7,0
9,9,128,24,2,0,128,49,7,0
10,10,123,25,3,0,123,51,10,0
11,11,120,25,3,0,120,53,10,0
12,12,111,24,6,0,111,51,19,0
13,13,108,22,8,0,108,48,25,0
14,14,103,21,10,0,103,47,31,0
15,15,97,23,10,0,97,53,31,0
