,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,243,0,0,0,243,0,0,0
1,1,241,1,0,0,241,2,0,0
2,2,241,1,0,0,241,2,0,0
3,3,241,1,0,0,241,2,0,0
4,4,241,1,0,0,241,2,0,0
5,5,235,4,0,0,235,8,0,0
6,6,231,6,0,0,231,12,0,0
7,7,221,11,0,0,221,22,0,0
8,8,199,18,2,0,199,37,6,0
9,9,182,23,4,0,182,48,12,0
10,10,177,24,5,0,177,50,15,0
11,11,155,25,10,1,155,52,31,4
12,12,151,27,10,1,151,56,31,4
13,13,146,30,9,1,146,64,28,4
14,14,137,31,9,2,137,68,28,9
15,15,133,33,9,2,133,72,28,9
