,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,243,0,0,0,243,0,0,0
1,1,241,1,0,0,241,2,0,0
2,2,239,2,0,0,239,4,0,0
3,3,239,2,0,0,239,4,0,0
4,4,239,2,0,0,239,4,0,0
5,5,233,5,0,0,233,10,0,0
6,6,227,8,0,0,227,16,0,0
7,7,221,11,0,0,221,22,0,0
8,8,210,13,2,0,210,27,6,0
9,9,201,14,3,1,201,29,9,4
10,10,192,16,3,2,192,33,10,8
11,11,180,21,3,2,180,44,10,9
12,12,167,27,3,2,167,56,10,10
13,13,166,27,3,2,166,57,10,10
14,14,160,28,3,2,160,59,15,9
15,15,156,30,3,2,156,63,15,9
