,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,243,0,0,0,243,0,0,0
1,1,241,1,0,0,241,2,0,0
2,2,241,1,0,0,241,2,0,0
3,3,241,1,0,0,241,2,0,0
4,4,241,1,0,0,241,2,0,0
5,5,236,2,1,0,236,4,3,0
6,6,233,3,0,1,233,6,0,4
7,7,224,6,1,1,224,12,3,4
8,8,201,15,2,1,201,31,7,4
9,9,183,21,4,1,183,42,14,4
10,10,177,24,4,1,177,48,14,4
11,11,156,27,5,3,156,56,17,14
12,12,153,28,5,3,153,59,17,14
13,13,150,28,5,3,150,60,17,16
14,14,137,33,6,3,137,70,20,16
15,15,135,33,5,4,135,70,17,21
