,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,243,0,0,0,243,0,0,0
1,1,241,1,0,0,241,2,0,0
2,2,241,1,0,0,241,2,0,0
3,3,241,1,0,0,241,2,0,0
4,4,241,1,0,0,241,2,0,0
5,5,235,4,0,0,235,8,0,0
6,6,232,5,0,0,232,11,0,0
7,7,223,8,1,0,223,17,3,0
8,8,200,15,4,0,200,31,12,0
9,9,184,19,5,1,184,39,15,4
10,10,178,22,5,1,178,45,15,4
11,11,156,24,10,1,156,51,31,4
12,12,153,25,9,2,153,53,28,8
13,13,147,28,9,2,147,59,28,8
14,14,136,31,10,2,136,66,32,8
15,15,135,31,8,3,135,66,25,16
