,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,243,0,0,0,243,0,0,0
1,1,241,1,0,0,241,2,0,0
2,2,241,1,0,0,241,2,0,0
3,3,241,1,0,0,241,2,0,0
4,4,241,1,0,0,241,2,0,0
5,5,235,4,0,0,235,8,0,0
6,6,231,6,0,0,231,12,0,0
7,7,221,11,0,0,221,22,0,0
8,8,198,20,0,1,198,41,0,4
9,9,182,24,2,1,182,50,6,5
10,10,178,24,3,1,178,49,11,5
11,11,155,29,5,2,155,62,15,11
12,12,152,30,5,2,152,65,15,11
13,13,148,32,4,2,148,69,12,14
14,14,138,35,4,2,138,78,13,14
15,15,138,32,5,2,138,70,21,14
