,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,243,0,0,0,243,0,0,0
1,1,241,1,0,0,241,2,0,0
2,2,241,1,0,0,241,2,0,0
3,3,241,1,0,0,241,2,0,0
4,4,241,1,0,0,241,2,0,0
5,5,235,4,0,0,235,8,0,0
6,6,231,6,0,0,231,12,0,0
7,7,221,11,0,0,221,22,0,0
8,8,196,22,1,0,196,44,3,0
9,9,181,25,3,0,181,53,9,0
10,10,177,25,3,1,177,52,10,4
11,11,153,32,4,2,153,70,12,8
12,12,151,31,4,3,151,68,12,12
13,13,148,31,4,3,148,68,12,15
14,14,138,33,5,3,138,72,16,17
15,15,135,33,6,3,135,72,19,17
