,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,243,0,0,0,243,0,0,0
1,1,241,1,0,0,241,2,0,0
2,2,241,1,0,0,241,2,0,0
3,3,241,1,0,0,241,2,0,0
4,4,241,1,0,0,241,2,0,0
5,5,235,4,0,0,235,8,0,0
6,6,231,6,0,0,231,12,0,0
7,7,222,9,1,0,222,18,3,0
8,8,199,18,1,1,199,37,3,4
9,9,183,21,4,1,183,44,12,4
10,10,178,22,5,1,178,45,16,4
11,11,158,23,7,3,158,48,22,15
12,12,156,23,7,3,156,50,22,15
13,13,151,25,7,3,151,54,22,16
14,14,143,24,8,4,143,55,25,20
15,15,140,25,8,4,140,58,25,20
