,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,243,0,0,0,243,0,0,0
1,1,241,1,0,0,241,2,0,0
2,2,241,1,0,0,241,2,0,0
3,3,241,1,0,0,241,2,0,0
4,4,241,1,0,0,241,2,0,0
5,5,235,4,0,0,235,8,0,0
6,6,231,6,0,0,231,12,0,0
7,7,223,8,0,1,223,16,0,4
8,8,199,18,1,1,199,36,3,5
9,9,180,26,2,1,180,52,6,5
10,10,175,27,3,1,175,54,9,5
11,11,152,31,5,3,152,63,15,13
12,12,150,31,5,3,150,64,15,14
13,13,147,31,6,2,147,64,21,11
14,14,134,36,7,2,134,74,24,11
15,15,132,34,9,2,132,69,31,11
