,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,178,3,0,0,178,6,0,0
3,3,173,4,1,0,173,8,3,0
4,4,162,8,2,0,162,16,6,0
5,5,152,13,2,0,152,26,6,0
6,6,148,15,2,0,148,30,6,0
7,7,142,17,1,1,142,35,3,4
8,8,132,21,0,2,132,43,0,9
9,9,130,22,0,2,130,45,0,9
10,10,126,22,1,2,126,45,4,9
11,11,122,23,0,3,122,48,0,14
12,12,115,21,1,4,115,44,3,22
13,13,111,22,1,4,111,47,3,23
14,14,105,22,3,4,105,46,10,23
15,15,99,22,5,4,99,46,16,23
