,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,243,0,0,0,243,0,0,0
1,1,241,1,0,0,241,2,0,0
2,2,241,1,0,0,241,2,0,0
3,3,241,1,0,0,241,2,0,0
4,4,241,1,0,0,241,2,0,0
5,5,235,4,0,0,235,8,0,0
6,6,231,6,0,0,231,12,0,0
7,7,222,9,1,0,222,18,3,0
8,8,200,15,4,0,200,30,13,0
9,9,185,18,6,0,185,38,20,0
10,10,179,21,6,0,179,44,20,0
11,11,157,24,10,0,157,54,32,0
12,12,153,26,10,0,153,58,32,0
13,13,149,26,11,0,149,59,35,0
14,14,136,31,12,0,136,69,38,0
15,15,133,31,13,0,133,69,41,0
