,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,178,3,0,0,178,6,0,0
3,3,172,6,0,0,172,12,0,0
4,4,161,10,1,0,161,20,3,0
5,5,151,15,1,0,151,30,3,0
6,6,147,17,1,0,147,34,3,0
7,7,142,17,2,0,142,36,6,0
8,8,130,23,2,0,130,48,6,0
9,9,130,22,2,0,130,44,10,0
10,10,126,23,2,0,126,48,10,0
11,11,120,26,2,0,120,54,10,0
12,12,112,23,6,0,112,48,24,0
13,13,108,23,7,0,108,49,27,0
14,14,103,24,7,0,103,52,29,0
15,15,99,24,6,1,99,56,25,4
