,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,178,3,0,0,178,6,0,0
3,3,172,6,0,0,172,12,0,0
4,4,160,12,0,0,160,24,0,0
5,5,151,15,1,0,151,30,3,0
6,6,149,15,1,0,149,32,3,0
7,7,142,17,2,0,142,36,6,0
8,8,132,20,3,0,132,43,9,0
9,9,130,21,3,0,130,45,9,0
10,10,125,23,3,0,125,50,9,0
11,11,120,25,2,1,120,54,6,4
12,12,111,25,3,2,111,52,9,12
13,13,107,24,5,2,107,50,15,12
14,14,102,25,4,3,102,52,12,18
15,15,96,26,5,3,96,53,17,18
