,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,178,3,0,0,178,6,0,0
3,3,172,6,0,0,172,12,0,0
4,4,162,9,1,0,162,18,4,0
5,5,154,10,3,0,154,20,10,0
6,6,150,12,3,0,150,24,10,0
7,7,142,16,3,0,142,32,10,0
8,8,133,17,5,0,133,35,16,0
9,9,131,18,5,0,131,37,16,0
10,10,127,18,5,1,127,37,16,4
11,11,123,18,6,1,123,38,19,4
12,12,113,22,4,2,113,50,12,9
13,13,108,23,5,2,108,51,16,9
14,14,102,25,5,2,102,55,18,9
15,15,95,28,5,2,95,62,18,9
