,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,178,3,0,0,178,6,0,0
3,3,172,6,0,0,172,12,0,0
4,4,161,10,1,0,161,20,3,0
5,5,154,10,2,1,154,20,6,4
6,6,150,12,2,1,150,24,6,4
7,7,144,13,2,2,144,26,6,8
8,8,135,16,2,2,135,35,6,8
9,9,133,17,2,2,133,37,6,8
10,10,128,20,1,2,128,45,3,8
11,11,123,21,2,2,123,47,6,8
12,12,114,21,3,3,114,47,10,13
13,13,110,23,2,3,110,54,7,13
14,14,103,26,2,3,103,60,7,14
15,15,95,30,2,3,95,68,7,14
