,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,178,3,0,0,178,6,0,0
3,3,172,6,0,0,172,12,0,0
4,4,160,12,0,0,160,24,0,0
5,5,150,17,0,0,150,34,0,0
6,6,147,17,1,0,147,34,3,0
7,7,139,21,1,0,139,42,3,0
8,8,129,24,2,0,129,48,7,0
9,9,127,25,2,0,127,50,7,0
10,10,123,26,1,1,123,53,3,5
11,11,119,26,2,1,119,53,6,5
12,12,109,28,2,2,109,58,6,10
13,13,105,28,3,2,105,58,10,10
14,14,100,29,3,2,100,63,10,10
15,15,95,28,5,2,95,62,16,10
