,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,176,4,0,0,176,8,0,0
3,3,167,7,1,0,167,14,3,0
4,4,151,12,3,0,151,24,9,0
5,5,140,13,6,0,140,26,18,0
6,6,135,15,5,1,135,30,15,4
7,7,126,19,5,1,126,39,15,4
8,8,117,22,4,2,117,46,12,8
9,9,117,22,4,2,117,46,12,8
10,10,114,22,5,2,114,46,15,8
11,11,110,19,7,2,110,40,25,8
12,12,95,24,8,2,95,50,28,10
13,13,91,23,10,2,91,48,34,10
14,14,88,24,10,2,88,51,34,10
15,15,81,24,9,3,81,53,30,19
