,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,177,3,0,0,177,7,0,0
3,3,168,6,1,0,168,13,3,0
4,4,152,11,3,0,152,23,9,0
5,5,140,15,3,1,140,31,9,4
6,6,135,16,4,1,135,33,12,4
7,7,126,20,3,2,126,41,9,8
8,8,115,26,2,2,115,55,6,8
9,9,115,26,2,2,115,55,6,8
10,10,113,25,3,2,113,53,10,8
11,11,107,24,5,2,107,52,17,8
12,12,96,24,5,4,96,52,16,20
13,13,94,22,5,5,94,47,18,25
14,14,92,23,5,4,92,54,18,20
15,15,82,24,5,6,82,52,16,34
