,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,178,3,0,0,178,6,0,0
3,3,173,5,0,0,173,11,0,0
4,4,161,11,0,0,161,23,0,0
5,5,151,16,0,0,151,33,0,0
6,6,147,18,0,0,147,37,0,0
7,7,139,22,0,0,139,45,0,0
8,8,131,21,3,0,131,43,9,0
9,9,129,22,3,0,129,45,9,0
10,10,124,23,4,0,124,47,12,0
11,11,120,23,5,0,120,48,15,0
12,12,111,23,7,0,111,51,21,0
13,13,107,24,6,1,107,53,18,4
14,14,104,23,4,3,104,52,12,14
15,15,100,22,4,4,100,51,12,19
