,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,176,4,0,0,176,8,0,0
3,3,166,9,0,0,166,18,0,0
4,4,150,15,1,0,150,31,3,0
5,5,140,17,2,0,140,37,7,0
6,6,134,20,2,0,134,43,7,0
7,7,128,20,2,1,128,43,7,6
8,8,119,21,4,1,119,45,14,6
9,9,119,21,4,1,119,45,14,6
10,10,116,22,4,1,116,48,14,6
11,11,109,22,6,1,109,48,21,6
12,12,100,19,7,3,100,41,24,18
13,13,97,19,6,4,97,41,22,23
14,14,97,18,6,3,97,39,22,25
15,15,89,18,7,3,89,38,28,28
