,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,176,4,0,0,176,8,0,0
3,3,166,9,0,0,166,18,0,0
4,4,151,13,2,0,151,27,6,0
5,5,140,15,3,1,140,31,9,4
6,6,135,17,3,1,135,36,9,4
7,7,127,19,4,1,127,41,12,4
8,8,120,17,6,2,120,37,19,8
9,9,120,17,6,2,120,37,19,8
10,10,117,19,5,2,117,43,16,8
11,11,113,16,5,4,113,37,16,18
12,12,100,21,6,2,100,56,19,9
13,13,96,21,6,3,96,56,19,13
14,14,92,23,6,3,92,60,19,13
15,15,84,20,10,3,84,52,35,13
