,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,176,4,0,0,176,8,0,0
3,3,166,9,0,0,166,18,0,0
4,4,151,13,1,1,151,26,3,4
5,5,140,16,2,1,140,34,6,4
6,6,135,18,2,1,135,38,6,5
7,7,125,23,2,1,125,48,6,5
8,8,117,22,4,2,117,46,12,9
9,9,117,22,4,2,117,46,12,9
10,10,115,21,4,3,115,44,12,13
11,11,106,24,5,3,106,50,15,13
12,12,92,28,5,4,92,59,16,17
13,13,88,29,5,4,88,61,16,19
14,14,85,30,5,4,85,64,16,19
15,15,75,32,5,5,75,69,16,24
