,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,178,3,0,0,178,6,0,0
3,3,172,6,0,0,172,12,0,0
4,4,161,10,1,0,161,20,3,0
5,5,152,14,0,1,152,28,0,4
6,6,149,14,1,1,149,28,3,4
7,7,142,17,0,2,142,34,0,8
8,8,132,20,1,2,132,41,3,8
9,9,130,21,1,2,130,43,3,8
10,10,125,23,1,2,125,48,3,8
11,11,120,25,1,2,120,52,3,9
12,12,109,27,2,3,109,55,7,13
13,13,104,29,2,3,104,59,7,14
14,14,100,26,5,3,100,53,17,14
15,15,95,26,6,3,95,54,21,14
