,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,178,3,0,0,178,6,0,0
3,3,173,5,0,0,173,11,0,0
4,4,163,8,1,0,163,18,3,0
5,5,155,11,0,1,155,24,0,5
6,6,151,13,0,1,151,28,0,5
7,7,144,15,1,1,144,32,3,5
8,8,134,19,1,1,134,41,3,6
9,9,133,19,0,2,133,41,0,10
10,10,129,18,2,2,129,39,6,10
11,11,124,19,3,2,124,41,9,10
12,12,119,13,6,3,119,28,22,15
13,13,114,14,7,3,114,29,26,15
14,14,109,15,6,4,109,32,22,20
15,15,103,19,5,3,103,46,18,16
