,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,176,4,0,0,176,8,0,0
3,3,167,7,1,0,167,14,3,0
4,4,151,12,3,0,151,24,9,0
5,5,140,15,4,0,140,32,12,0
6,6,134,18,4,0,134,38,12,0
7,7,125,23,3,0,125,50,9,0
8,8,116,24,5,0,116,53,15,0
9,9,116,24,5,0,116,53,15,0
10,10,112,26,5,0,112,57,15,0
11,11,106,24,8,0,106,54,24,0
12,12,96,23,7,3,96,50,24,14
13,13,91,26,6,3,91,58,21,14
14,14,88,26,7,3,88,58,24,14
15,15,79,28,7,3,79,67,26,12
