,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,176,4,0,0,176,8,0,0
3,3,166,9,0,0,166,18,0,0
4,4,150,14,2,0,150,28,6,0
5,5,139,15,5,0,139,30,15,0
6,6,133,18,5,0,133,36,15,0
7,7,125,20,5,1,125,40,15,4
8,8,116,22,6,1,116,45,18,5
9,9,116,22,6,1,116,45,18,5
10,10,112,24,6,1,112,49,18,5
11,11,105,25,7,1,105,52,22,5
12,12,93,24,10,2,93,49,33,9
13,13,89,24,10,3,89,49,33,13
14,14,85,26,10,3,85,53,33,13
15,15,80,22,10,5,80,46,32,26
