,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,176,4,0,0,176,8,0,0
3,3,166,9,0,0,166,18,0,0
4,4,150,14,2,0,150,28,6,0
5,5,138,18,3,0,138,37,9,0
6,6,133,19,4,0,133,39,12,0
7,7,124,23,3,1,124,47,9,4
8,8,116,24,3,2,116,50,10,8
9,9,116,24,3,2,116,50,10,8
10,10,113,24,4,2,113,50,13,8
11,11,107,24,4,3,107,52,12,13
12,12,95,25,5,4,95,55,15,19
13,13,92,23,7,4,92,50,23,19
14,14,90,23,7,4,90,52,23,19
15,15,79,26,7,5,79,59,23,23
